J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -A -M 4 -C 0.1 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.74, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -A -M 4 -C 0.1 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.73, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -M 4 -C 0.1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=0.73, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -M 4 -C 0.1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=0.69, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -A -M 4 -C 0.1 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.56, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -A -M 4 -C 0.1 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.43, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -M 4 -C 0.1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=0.42, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -M 4 -C 0.1 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.65, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.61, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=0.61, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
